Right,Wrong 
A Possible Anthropic Solution to the Strong CP Problem,On Fragmentation Functions
Radiatively Generated Maximal Mixing Scenario for the Higgs Mass and the Least Fine Tuned Minimal Supersymmetric Standard Model,Heterotic String Theory in the Presence of a D1 Instanton
Interpolating Axial Anomaly Induced Amplitudes,A Flavor Formulation of Unified Models With Hexaquarks
K -> Pi Nu Nu-bar Decays and CKM Fits,Quantum Approaches to the Little Hierarchy Problem
Softer Hard Scattering and Noncommutative Gauge-String Duality,Constraints on the Hilbert Space and M+1-dimensional NCFTs on P^n
Topological Electropoles in 4+1 Dimensional EYMCS Theory,On M-dimensional Soft-Collinear Effective Theories
Higgs-mediated FCNCs: Natural Flavour Conservation vs. Minimal Flavour Violation,"Bosonic Strings on a H^m(P^m,\Z) Quotient of a Symmetric Space Found Using Type-1 Factors"
Particle Weights and Their Disintegration I,Understanding Scattering Amplitudes: Correlators of Multi-fermion Operators
Three-Dimensional N Geq 5 Superconformal Chern-Simons Gauge Theories and Their Relations,Harmonic Analysis in Topological Strings Revisited
Relativistic Supersymmetric Quantum Mechanics Based on Klein-Gordon Equation,QCD_3 Supported on dS_n and a Black Brane
On Superpotential and BPS Domain Wall in SQCD and MQCD,Explaining Yangian Invariant Gauge Mediation and Poincare-Strassler Unparticle Physics
Quantum Attractor Flows,Monstrous Moonshine and Nonlinear Models With Quarks
BMSSM Higgs Bosons at the Tevatron and the LHC,The Non-three-fluid Condensate Reduction of an Invertible TQFT Dimensionally Reduced on P^m
Inflation in S-Dual Superstring Models,Investigating a Probe of a Holographic Superconductor in Extremal QFTs Surrounded by an Instanton: A Tachyonic Formalism
Neutrinoless Double Beta Decay and the Neutrino Mass Matrix,Quantum Processes and Tensor Networks During Inflation
Validity of Double Scaling Analysis in Semi-inclusive Processes - $J/psi$ Production at HERA,Holographic-duality
On Equivalence of Two Hurwitz Matrix Models,The World as the Lagrangian
Is the Stop Mass Below the Top Mass?,Some Speculations About Observables
Lorentz Violation of Quantum Gravity,Fractional D2 Branes Wrapped on P^n During Inflation Reconsidered
Target Mass Corrections for Spin-dependent Structure Functions in Collinear Factorization,Dark Matter in the Interstellar Medium as Vortex Equations in Twisted N=5 Supergravity Surrounded by a Firewall
Diffractive Production of Vector Mesons at Large T,Jerusalem Lectures on Some Novel Investigations of the Cosmological Constant Problem
A Little Higgs Model of Neutrino Masses,Trivial Gopakumar-Vafa Invariants
"Fields, Strings and Branes",Jerusalem Lectures on Geometric Transitions in Models of Gluons
$CP$ Violation in Minimal Supersymmetric Standard Model,Some Novel Frameworks of Special Lagrangian Branes Wrapping a P^1
J/psi Production via Fragmentation at the Tevatron,The SUSY SYK Model/General Relativity Correspondence and Hybrid Gravity
"String Theory, Space-Time Non-Commutativity and Structure Formation",Some General Cases of Abelian Hilbert Schemes and Instantons on the Surface of the Sun
Heat Kernel Asymptotics With Mixed Boundary Conditions,On the Wilsonian Effective Action
Electromagnetic Moments of the Baryon Decuplet,A Computation of the Typical State Problem From Currents on a SL_n(\C) Quotient of the Moduli Space of Hyper-Kahler Rational Surfaces as Neutralinos
Experimental Consequences of One-parameter No-scale Supergravity Models,The Dion Charge
"Testing New Physics/couplings at the NLC (Talk Prsented in the 5th Topical Seminar on ""The Irresistible Rise of the Standard Model"", San Miniato Al Todesco, Italy, April 21-25 1997)","(P,q) Branes Wrapping a T^n"
Next-to-leading Order QCD Predictions for $A^0Z^0$ Associated Production at the CERN Large Hadron Collider,The Strong CP Problem and a Dion Model With W-bosons
Fermion Sea Along the Sphaleron Barrier,Anomalies Are Hadronic
B-ball Baryogenesis and D-term Inflation,The CY_2/dS_n Correspondence
Hybrid Brane Worlds in the Salam-Sezgin Model,Progress in Non-Nelson Models
Power Suppressed Effects in B-> X_s Gamma at O(alpha_s),Non-abelian Vortices as String Theory Surrounded by a Special Lagrangian Brane Wrapping a S^n
Geometry in Transition: A Model of Emergent Geometry,"Gravitational Waves in Heterotic String Theory Compactified on the Conformal Boundary of the Moduli Space of Affine Bundles Over T^7, the Alternative Limit in F-Theory Deformed by Irrelevant D-terms, and a Certain Notion of Clebsch-Gordon Decomposition"
Dimensional and Dynamical Aspects of the Casimir Effect: Understanding the Reality and Significance of Vacuum Energy,An Acoustic Solution of String Theory Living on M_m(\Z) Bundles Over M Copies of C^4
Neutralino Dark Matter in Supergravity Theories With Non-universal Scalar and Gaugino Masses,Left-right Fluctuations After Reheating
Algebraic Algorithm for Next-to-leading Order Calculations in the Large-s/small-x Regime,"Canonical Co-isotropic Instantons, Positrons, and Noncommutative Instantons in the CMB"
A Two-loop Relation Between Inclusive Radiative and Semileptonic B-decay Spectra,A D_m Singularity on the Surface of the Sun as Canonical Co-isotropic Branes in the Early Universe
Next-to-leading Order QCD Evolution of Transversity Fragmentation Functions,From Squarks to a Conifold Singularity at LIGO
From ADM to Brane-World Charges,Progress in D2 Instantons
The Measure in Three Dimensional Nambu-Goto String Theory,Some Little-known Cases of Central Charges in Soft-Collinear Effective Theories on G_2 Bundles Over Harmonic ALF Spaces
Vertex Operator Extension of Casimir W A(N) Algebras,The Lithium Problem as Extremal Effective Field Theories Far From Kerr Black Branes
Folded Strings in Curved Spacetime,"The QED/RS2 Correspondence Predicts Clebsch-Gordon Decomposition on Klebanov-Strassler Backgrounds of H^m(CY_n,\Q) Holonomy"
Application of Pade Approximants to Determination of Alpha_s(M_Z^2) From Hadronic Event Shape Observables in E+e- Annihilation,Remarks on Monopoles
Confining String With Topological Term,Progress in Boltzmann-Gaiotto Gauge Mediation
Two-Loop Effective Potential Calculation of the Lightest CP-Even Higgs-Boson Mass in the MSSM,Superconvergence Sum Rules in Minimal Models of Dark Matter
Instability of Non-supersymmetric Smooth Geometries,Black Branes
Neutrino Radiative Decay and Lepton Flavor Violation in Supersymme Tric Models,String Theories
Novel Local CFT and Exact Results on Perturbations of N=4 Super Yang Mills From AdS Dynamics,Models of Flavor
"General Analysis of B Decays to Two Pseudoscalars for EWP, Rescattering and Color Suppression Effects",From Firewalls to Stable Thermodynamics
Novel Mechanism of Nucleon Stopping in Heavy Ion Collisions,Probable Approaches to the Lithium Problem
Improved $Alpha^4$ Term of the Muon Anomalous Magnetic Moment,Crunches in the Tricritical Ising Model
Holographic Thermodynamics and Transport of Flavor Fields,Nonvanishing Structure on an Affine Bundle Over Symplectic Manifolds
A Simplest A4 Model for Tri-Bimaximal Neutrino Mixing,Nonvanishing Structure in a WZW NCFT on AdS_m
Nonlinear Supersymmetric General Relativity and Unity of Nature,Clarifying Instantons: Models of Dark Matter
Exact and Approximate Dynamics of the Quantum Mechanical O(N) Model,An Analytical Check of Demystifying a Model of Condensates From Perturbation Theory
Relic Abundance Due to Cosmic Pair Annihilation,A Schwarzschild Black Brane Formed From Collapse
Potentialities of Atmospheric Neutrinos,Some Little-known Investigations of Solitons Using Some Little-known Examples of Reisner-Nordstrom Black Holes
Eternal Observers and Bubble Abundances in the Landscape,Towards Orientifold Planes
Automatically R-Conserving SUSY SO(10) Models and Mixed Light Higgs Doublets,E_6 Singularities
Deformed Wong Particles,Understanding the Beta Function in Extremal Matrix Models: An Acoustic Formalism
On the Induction of the Four-dimensional Lorentz-breaking Non-Abelian Chern-Simons Action,Discrete Gerbs Derived via Automorphic Forms
Split Supersymmetry at Colliders,Beautiful Approaches to the Cosmic Coincidence Problem
Nonequilibrium Quantum Fields and the Classical Field Theory Limit,From the Strong CP Problem to Anomalous Dimensions in Supergravity Far From a Firewall
W-pair Production in Unparticle Physics,Microscopic Processes in Bosonic Strings
Symmetry Origin of Infrared Divergence Cancellation in Topologically Massive Yang-Mills Theory,The Analytic Continuation of Quasimodular Forms in Jackiw-Teitelboim Gravity and the Electric-dual of Topological Jackiw-Teitelboim Gravity on the Near Horizon Geometry of the Moduli Space of Moduli Spaces of SU(5) Quotients of 3 Copies of C^9
Explicit Construction of BRST Charge of Noncommutative D-brane System,Discrete Modular Forms
Effective Theory for the Soft Fluctuation Modes in the Spontaneously Broken Phase of the N-component Scalar Field Theory,Type-1 Factors on SL_m(\Z) Orbifolds of Rational Surfaces With Non-abelian Flux
A New Evaluation of Polarized Parton Densities in the Nucleon,PDFs
Capability of LHC to Discover Supersymmetry With Sqrts=7 TeV and 1 Fb^{-1},"From Analyticity in Spin to (P,q) Branes Wrapped on a Compact ALF Space Fibered Over a SO(1) Bundle Over a Lens Space During Inflation"
Gravity in Complex Hermitian Space-Time,Dark Energy in the Interstellar Medium Checked From Kloosterman Sums
"Quantization of Eletric Charge, the Neutrino and Generation Nonuniversality",Discrete Gopakumar-Vafa Invariants as Abelian Automorphic Forms
Probing Unquenching Effects in the Gluon Polarisation in Light Mesons,CERN Winter School Lectures on Boundary-duality in Models of Condensates
Superradiance Around Rotating Dilatonic Black Hole,Reconstructing a Model of Cosmic Rays: A Calculable Approach
The Maximal Mass Model and Lepton Magnetic Moment,Towards Superdiffeomorphism Algebras in M-Theory Surrounded by a NS5 Instanton
A New Integrable Model of (1+1)-Dimensional Dilaton Gravity Coupled to Toda Matter,Discrete Line Bundles
From the Fuzzy Disc to Edge Currents in Chern-Simons Theory,The World as Umbral Moonshine
Perspectives on Heavy-quarkonium Production at the LHC,A Massive Black Hole Formed From Collapse in the Mu Problem
Dyons and Magnetic Monopoles Revisited,Understanding Condensates to All Orders: A Chiral Procedure
A Formula for the Static Potential Energy in Quantum Gravity,Spontaneously-broken Poincare Symmetric Structure on Moduli Spaces of Moduli Spaces of Moduli Spaces of N Copies of P^m as Some General Investigations of Chaos
An Estimate of the Partial Width for X(3872) Into P P-bar,On a Black Hole Formed From Collapse at the Planck Scale
Finite Temperature QCD With Wilson Fermions,Reviewing the Mu/B_mu Problem: Integrable Hierarchies on T^9 X dS_n
CP Violation,Electric-duality in Locked Inflation
Exactly Solvable Model for the QCD Tricritcal Endpoint,"Gravitational-duality in Type IIB Strings Compactified on H_n(P^n,\mathbb{H}) Orbifolds of N-folds With Diffeomorphism Symmetric B-field Reexamined"
The Five-gluon Amplitude in the High-energy Limit,The Reduction of Heterotic Strings Living on S^9 Reconsidered
Consistency in Regularizations of the Gauged NJL Model at One Loop Level,Extremal Yang-Mills Theories Living on Symplectic Squashed Linear Dilaton Backgrounds
Notes on Gauging Noneffective Group Actions,Hexaquark Collisions in Heterotic Strings Conjectured From Integrable Hierarchies
The Topology of Multi-coupling Deformations of CFT,On the Mu Problem
Constraints on the Leading-Twist Pion Distribution Amplitude From a QCD Light-Cone Sum Rule With Chiral Current,A Prediction of a Test of the Confinement Problem vs the Formulation of Multi-field RS1
The Entropy of the QCD Plasma,Remarks on the SUSY CP Problem
Slepton Production at E+e- and E-e- Linear Colliders,Pions
Proof of the Dual Conformal Anomaly of One-Loop Amplitudes in N=4 SYM,"Gravitational-duality in N=9 Matrix Models Compactified on S^1, Flavor in the CMB, and the Boundary Quantum Formulation of M-Theory Deformed by Line Operators (Including a Formulation of Quasimodular Forms in Technicolor)"
Solar Neutrinos Before and After KamLAND,Minimal Approaches to the Little Hierarchy Problem
Trans-Planckian Effects in Inflationary Cosmology and the Modified Uncertainty Principle,Comments on Instanton Liquids in the CMB
Test of the Dimopouos-Hall-Raby Ansatz for Fermion Mass Matrices,Progress in the Hierarchy Problem
Non-extensive Statistical Mechanics and Particle Spectra in Elementary Interactions,Vanishing Index Theorems
Large Relativistic Corrections to the Positronium Decay Rate,Firewalls to All Orders
Hadron-Gluon Interactions and the Pomeron,The Solution of QED_3 With Singlet Gauge-fields on C^m as an Orientifold Plane
FIESTA 2: Parallelizeable Multiloop Numerical Calculations,General Quasimodular Forms and the Effective Potential
Dynamical Spin II,Condensates at the Intermediate Scale
"Suppression of the Shear Viscosity in a ""Semi"" Quark Gluon Plasma",Discrete Duality Found via Vortices
